unit_id,arch,die_count,bumps_per_die,total_bumps,bump_pitch_um,cu_thickness_um,warpage_um,reflow_temp_C,overlay_sigma_um,overlay_x_um,overlay_y_um,overlay_mag_um,bump_fail_prob_true,defects_bump_count,dpm_bump,die_bad_count,dpm_die,unit_fail,dpm_unit
UNIT_0001,FlipChip,3,1995,5985,60.0,12.954558179793022,28.633230370706936,259.3099050428318,2.1150359006493598,2.8346033589454356,-1.0410344572696972,3.01972332238693,1.3084054085776595e-05,0,0.0,0,0.0,0,0.0
UNIT_0002,FanOut,4,1639,6556,50.0,17.791678729418223,39.26870443841816,244.90738084335217,1.1639463631787295,-0.5326402007960285,-2.2129212935838924,2.276120874448684,1.338375882163115e-05,1,152.53203172666258,0,0.0,0,0.0
UNIT_0003,FanOut,4,1425,5700,40.0,8.784966133019115,35.32672638425114,240.979271139638,1.3653267760383407,-0.0662196394192572,0.1547037925560694,0.1682804328377123,9.257868136200178e-06,0,0.0,0,0.0,0,0.0
UNIT_0004,FanOut,1,394,394,40.0,23.22470665940046,66.52246558465197,236.6291339770993,1.4918695737636198,1.3193943344938,-0.870655728845014,1.580772851508078,3.0763869302396163e-05,0,0.0,0,0.0,0,0.0
UNIT_0005,FlipChip,4,1895,7580,80.0,24.318960841960855,1.3213830467879433,244.351471961942,2.129838506424145,-1.3662283461006322,4.260564189288092,4.474258274254289,6.20996308252184e-06,0,0.0,0,0.0,0,0.0
UNIT_0006,FanOut,3,1397,4191,50.0,11.30439403954994,57.07275667988015,237.07507771976407,1.666811890208582,2.397746560106139,-1.1262018737413175,2.649060064800207,3.148764494658319e-05,0,0.0,0,0.0,0,0.0
UNIT_0007,FanOut,3,1081,3243,50.0,16.854962558287596,62.469096802510194,263.552262297197,1.1691180518789364,-0.929030734863248,0.7563064691528553,1.197955584152854,1.0999947089486678e-05,0,0.0,0,0.0,0,0.0
UNIT_0008,FanOut,1,1892,1892,100.0,28.78885976518955,31.819664494445053,245.63736165366748,1.4374511498705187,2.1899990885472493,-0.6152649458746308,2.274785036318794,2.8245847109792944e-06,0,0.0,0,0.0,0,0.0
UNIT_0009,2.5D,4,1483,5932,60.0,16.278332394858243,28.91046942563952,230.777014570683,2.7632721256752912,-0.06671537284343707,1.8469186509249795,1.8481232221116062,9.54714912326511e-06,0,0.0,0,0.0,0,0.0
UNIT_0010,FlipChip,3,310,930,40.0,16.188075996434485,48.667001221960746,225.53014459922542,1.591167763765017,-0.4844737926262621,-1.4319357989330586,1.5116729103902506,1.8514523063097798e-05,0,0.0,0,0.0,0,0.0
