case,hole_d_mm,mises_pa,manufacturable
84,26.643135403273874,377.7763153280178,1
54,21.999082024751083,268.09920523836666,1
71,23.039500980626123,309.4927781314728,1
46,27.00265102002249,392.4143148449617,1
45,28.326781960578373,423.9920224739251,0
40,21.299215053354715,247.05729865945435,1
23,26.316643991220648,368.66231377914374,1
81,26.61916514726895,372.14083232902027,1
11,27.86064305276954,405.7759638973296,0
1,20.0,235.0,1
19,22.27238721784777,280.2868039507673,1
31,20.438037657872286,244.2894487030274,1
74,22.14584672819529,267.0804666812026,1
34,27.447621559078172,400.3280369671996,0
91,24.618772302513875,323.8496520702445,1
5,24.388784397520524,311.3014022212886,1
77,22.339394858653407,276.89469701107595,1
78,20.58302741689066,244.75141097580743,1
13,24.50385937895567,317.03421660584047,1
32,21.54289492067548,273.51957108726174,1
56,27.869243775021385,407.73439111640096,0
89,20.90047860775642,261.2012711419361,1
27,28.931211213221978,451.3976128992391,0
43,26.6981399468251,366.0430667185108,1
70,25.592071607454137,344.34323645919943,1
16,26.438651200806646,368.46205201495616,1
41,24.757049262259336,335.4108217778491,1
97,23.810212260964825,298.02900714892064,1
10,27.611397019903528,412.2624566510918,0
73,24.367173892323624,328.10080956198345,1
12,21.28113632675546,263.6345932598076,1
48,28.32259801395201,444.6781270470607,0
86,28.14020384666035,417.58290423616893,0
29,21.946387078519678,262.20632064123055,1
94,21.523121027131683,274.5579257522654,1
6,28.585979199113822,420.7796394572379,0
67,27.649988574160254,398.9151767369516,1
66,25.65236106481189,359.4732805841263,1
36,23.25825358138152,287.5610839151514,1
17,28.2276161327083,425.44699811238274,0
50,23.874783790301745,302.47674771409083,1
35,29.6750973243421,471.9965233465627,0
8,20.941773478876495,244.2575179585725,1
96,24.461562755740307,313.7423161856972,1
28,27.78383497073762,404.62010330778907,0
20,25.545847870158347,350.92595669963464,1
82,25.570321523412783,339.8123856725072,1
26,29.706980243949033,461.41159048816144,0
63,21.145300735359733,254.79105311214738,1
14,23.707980242325814,305.0957831675011,1
25,23.545259681298685,305.0717500019612,1
4,27.739560485559632,393.756198122933,1
18,24.43414198827331,309.09510222991133,1
39,21.89471359084286,266.27154139027255,1
9,29.75622351636756,459.6762492131702,0
79,22.813838920219965,282.5412512377859,1
7,26.973680290593638,388.15065380979337,1
65,24.710962061431324,330.3049429491744,1
37,23.70459706034869,301.54754404839406,1
90,27.2235935059645,393.2727903337232,1
57,26.648508565920324,385.06139627009117,1
100,23.618126105533904,303.3501295775225,1
55,20.073622697510054,231.35102659449026,1
44,24.37151918872331,313.3667604512318,1
51,22.883281039302442,272.15786362241755,1
68,26.347183200005908,359.37709076789224,1
47,23.12366641382041,310.2036221578869,1
69,25.53579400657996,341.0596947003115,1
62,21.397969981276574,256.0250806562309,1
98,23.015120891478766,305.16299615739416,1
80,22.935937577666834,293.8749441179973,1
42,22.26909349050884,274.9680966901313,1
59,27.807290310219678,405.90362365851615,0
49,28.04764357496802,417.0650661755855,0
99,26.302825931188885,381.5259897178108,1
58,27.05165378626335,388.2483794674862,1
76,28.53403073268166,430.3723162717614,0
33,26.830489532424547,387.908850651982,1
95,26.96320375077736,386.144915159307,1
60,24.5891577553834,318.1713795198781,1
64,26.684029617904717,391.58986612702694,1
85,24.063868614400704,327.21202819062876,1
38,24.69555811275808,321.4941801279576,1
30,24.667210037270344,329.6867354006375,1
2,25.0,336.0,1
53,21.397524836093098,253.403670908039,1
22,28.276311719925822,408.5094467839906,0
3,30.0,470.0,0
24,27.580877400853737,396.81088983198924,1
88,20.227120731338605,241.15899480200153,1
92,21.612717790336017,272.8218070601937,1
75,24.08528643724636,322.5090379735279,1
87,21.66972919907704,264.1093939503684,1
83,27.838982091064135,397.81205929228304,1
21,20.638172561041753,241.30071101969145,1
61,25.687411959528937,339.0685907246834,1
72,20.308178345679394,233.69980337739912,1
15,29.26764988848602,440.7100674167954,0
93,25.010447751033634,339.67564569961445,1
52,26.824955039749753,383.22623932496117,1
